Time,Angular Velocity
0.000000,0.000000
0.010000,0.004000
0.020000,0.007920
0.030000,0.011762
0.040000,0.015526
0.050000,0.019216
0.060000,0.022832
0.070000,0.026375
0.080000,0.029847
0.090000,0.033250
0.100000,0.036585
0.110000,0.039854
0.120000,0.043057
0.130000,0.046196
0.140000,0.049272
0.150000,0.052286
0.160000,0.055240
0.170000,0.058136
0.180000,0.060973
0.190000,0.063753
0.200000,0.066478
0.210000,0.069149
0.220000,0.071766
0.230000,0.074331
0.240000,0.076844
0.250000,0.079307
0.260000,0.081721
0.270000,0.084086
0.280000,0.086405
0.290000,0.088677
0.300000,0.090903
0.310000,0.093085
0.320000,0.095223
0.330000,0.097319
0.340000,0.099373
0.350000,0.101385
0.360000,0.103357
0.370000,0.105290
0.380000,0.107184
0.390000,0.109041
0.400000,0.110860
0.410000,0.112643
0.420000,0.114390
0.430000,0.116102
0.440000,0.117780
0.450000,0.119424
0.460000,0.121036
0.470000,0.122615
0.480000,0.124163
0.490000,0.125680
0.500000,0.127166
0.510000,0.128623
0.520000,0.130050
0.530000,0.131449
0.540000,0.132820
0.550000,0.134164
0.560000,0.135481
0.570000,0.136771
0.580000,0.138036
0.590000,0.139275
0.600000,0.140489
0.610000,0.141680
0.620000,0.142846
0.630000,0.143989
0.640000,0.145109
0.650000,0.146207
0.660000,0.147283
0.670000,0.148337
0.680000,0.149371
0.690000,0.150383
0.700000,0.151375
0.710000,0.152348
0.720000,0.153301
0.730000,0.154235
0.740000,0.155150
0.750000,0.156047
0.760000,0.156926
0.770000,0.157788
0.780000,0.158632
0.790000,0.159459
0.800000,0.160270
0.810000,0.161065
0.820000,0.161844
0.830000,0.162607
0.840000,0.163355
0.850000,0.164087
0.860000,0.164806
0.870000,0.165510
0.880000,0.166199
0.890000,0.166875
0.900000,0.167538
0.910000,0.168187
0.920000,0.168823
0.930000,0.169447
0.940000,0.170058
0.950000,0.170657
0.960000,0.171244
0.970000,0.171819
0.980000,0.172382
0.990000,0.172935
1.000000,0.173476
1.010000,0.174007
1.020000,0.174526
1.030000,0.175036
1.040000,0.175535
1.050000,0.176024
1.060000,0.176504
1.070000,0.176974
1.080000,0.177434
1.090000,0.177886
1.100000,0.178328
1.110000,0.178761
1.120000,0.179186
1.130000,0.179603
1.140000,0.180010
1.150000,0.180410
1.160000,0.180802
1.170000,0.181186
1.180000,0.181562
1.190000,0.181931
1.200000,0.182292
1.210000,0.182647
1.220000,0.182994
1.230000,0.183334
1.240000,0.183667
1.250000,0.183994
1.260000,0.184314
1.270000,0.184628
1.280000,0.184935
1.290000,0.185236
1.300000,0.185532
1.310000,0.185821
1.320000,0.186105
1.330000,0.186382
1.340000,0.186655
1.350000,0.186922
1.360000,0.187183
1.370000,0.187440
1.380000,0.187691
1.390000,0.187937
1.400000,0.188178
1.410000,0.188415
1.420000,0.188646
1.430000,0.188873
1.440000,0.189096
1.450000,0.189314
1.460000,0.189528
1.470000,0.189737
1.480000,0.189943
1.490000,0.190144
1.500000,0.190341
1.510000,0.190534
1.520000,0.190723
1.530000,0.190909
1.540000,0.191091
1.550000,0.191269
1.560000,0.191443
1.570000,0.191615
1.580000,0.191782
1.590000,0.191947
1.600000,0.192108
1.610000,0.192266
1.620000,0.192420
1.630000,0.192572
1.640000,0.192720
1.650000,0.192866
1.660000,0.193009
1.670000,0.193149
1.680000,0.193286
1.690000,0.193420
1.700000,0.193551
1.710000,0.193680
1.720000,0.193807
1.730000,0.193931
1.740000,0.194052
1.750000,0.194171
1.760000,0.194288
1.770000,0.194402
1.780000,0.194514
1.790000,0.194624
1.800000,0.194731
1.810000,0.194836
1.820000,0.194940
1.830000,0.195041
1.840000,0.195140
1.850000,0.195237
1.860000,0.195333
1.870000,0.195426
1.880000,0.195517
1.890000,0.195607
1.900000,0.195695
1.910000,0.195781
1.920000,0.195865
1.930000,0.195948
1.940000,0.196029
1.950000,0.196109
1.960000,0.196186
1.970000,0.196263
1.980000,0.196337
1.990000,0.196411
2.000000,0.196482
2.010000,0.196553
2.020000,0.196622
2.030000,0.196689
2.040000,0.196755
2.050000,0.196820
2.060000,0.196884
2.070000,0.196946
2.080000,0.197007
2.090000,0.197067
2.100000,0.197126
2.110000,0.197183
2.120000,0.197240
2.130000,0.197295
2.140000,0.197349
2.150000,0.197402
2.160000,0.197454
2.170000,0.197505
2.180000,0.197555
2.190000,0.197604
2.200000,0.197652
2.210000,0.197699
2.220000,0.197745
2.230000,0.197790
2.240000,0.197834
