Time,X,Y,Theta,Mode
0,0,0,0,straight
0.1,1,0,0,straight
0.2,2,0,0,straight
0.3,3,0,0,straight
0.4,4,0,0,straight
0.5,5,0,0,straight
0.6,6,0,0,straight
0.7,7,0,0,straight
0.8,8,0,0,straight
0.9,9,0,0,straight
1,10,0,0,straight
1.1,11,0,0,straight
1.2,12,0,0,straight
1.3,13,0,0,straight
1.4,14,0,0,straight
1.5,15,0,0,straight
1.6,16,0,0,straight
1.7,17,0,0,straight
1.8,18,0,0,straight
1.9,19,0,0,straight
2,20,0,0,straight
2.1,21,0,0,straight
2.2,22,0,0,straight
2.3,23,0,0,straight
2.4,24,0,0,straight
2.5,25,0,0,straight
2.6,26,0,0,straight
2.7,27,0,0,straight
2.8,28,0,0,straight
2.9,29,0,0,straight
3,30,0,0,straight
3.1,31,0,0,straight
3.2,32,0,0,straight
3.3,33,0,0,straight
3.4,34,0,0,straight
3.5,35,0,0,straight
3.6,36,0,0,straight
3.7,37,0,0,straight
3.8,38,0,0,straight
3.9,39,0,0,straight
4,40,0,0,straight
4.1,41,0,0,straight
4.2,42,0,0,straight
4.3,43,0,0,straight
4.4,44,0,0,straight
4.5,45,0,0,straight
4.6,46,0,0,straight
4.7,47,0,0,straight
4.8,48,0,0,straight
4.9,49,0,0,straight
5,50,0,0,straight
5.1,51,0,0,straight
5.2,52,0,0,straight
5.3,53,0,0,straight
5.4,54,0,0,straight
5.5,55,0,0,straight
5.6,56,0,0,straight
5.7,57,0,0,straight
5.8,58,0,0,straight
5.9,59,0,0,straight
6,60,0,0,straight
6.1,61,0,0,straight
6.2,62,0,0,straight
6.3,63,0,0,straight
6.4,64,0,0,straight
6.5,65,0,0,straight
6.6,66,0,0,straight
6.7,67,0,0,straight
6.8,68,0,0,straight
6.9,69,0,0,straight
7,70,0,0,straight
7.1,71,0,0,straight
7.2,72,0,0,straight
7.3,73,0,0,straight
7.4,74,0,0,straight
7.5,75,0,0,straight
7.6,76,0,0,straight
7.7,77,0,0,straight
7.8,78,0,0,straight
7.9,79,0,0,straight
8,80,0,0,straight
8.1,81,0,0,straight
8.2,82,0,0,straight
8.3,83,0,0,straight
8.4,84,0,0,straight
8.5,85,0,0,straight
8.6,86,0,0,straight
8.7,87,0,0,straight
8.8,88,0,0,straight
8.9,89,0,0,straight
9,90,0,0,straight
9.1,91,0,0,straight
9.2,92,0,0,straight
9.3,93,0,0,straight
9.4,94,0,0,straight
9.5,95,0,0,straight
9.6,96,0,0,straight
9.7,97,0,0,straight
9.8,98,0,0,straight
9.9,99,0,0,straight
10,100,0,0,straight
10.1,101,0,0,straight
10.2,102,0,0,straight
10.3,103,0,0,straight
10.4,104,0,0,straight
10.5,105,0,0,straight
10.6,106,0,0,straight
10.7,107,0,0,straight
10.8,108,0,0,straight
10.9,109,0,0,straight
11,110,0,0,straight
11.1,111,0,0,straight
11.2,112,0,0,straight
11.3,113,0,0,straight
11.4,114,0,0,straight
11.5,115,0,0,straight
11.6,116,0,0,straight
11.7,117,0,0,straight
11.8,118,0,0,straight
11.9,119,0,0,straight
12,120,0,0,straight
12.1,121,0,0,straight
12.2,122,0,0,straight
12.3,123,0,0,straight
12.4,124,0,0,straight
12.5,125,0,0,straight
12.6,126,0,0,straight
12.7,127,0,0,straight
12.8,128,0,0,straight
12.9,129,0,0,straight
13,130,0,0,straight
13.1,131,0,0,straight
13.2,132,0,0,straight
13.3,133,0,0,straight
13.4,134,0,0,straight
13.5,135,0,0,straight
13.6,136,0,0,straight
13.7,137,0,0,straight
13.8,138,0,0,straight
13.9,139,0,0,straight
14,140,0,0,straight
14.1,141,0,0,straight
14.2,142,0,0,straight
14.3,143,0,0,straight
14.4,144,0,0,straight
14.5,145,0,0,straight
14.6,146,0,0,straight
14.7,147,0,0,straight
14.8,148,0,0,straight
14.9,149,0,0,straight
15,150,0,0,straight
15.1,151,0,0,straight
15.2,152,0,0,straight
15.3,153,0,0,straight
15.4,154,0,0,straight
15.5,155,0,0,straight
15.6,156,0,0,straight
15.7,157,0,0,straight
15.8,158,0,0,straight
15.9,159,0,0,straight
16,160,0,0,straight
16.1,161,0,0,straight
16.2,162,0,0,straight
16.3,163,0,0,straight
16.4,164,0,0,straight
16.5,165,0,0,straight
16.6,166,0,0,straight
16.7,167,0,0,straight
16.8,168,0,0,straight
16.9,169,0,0,straight
17,170,0,0,straight
17.1,171,0,0,straight
17.2,172,0,0,straight
17.3,173,0,0,straight
17.4,174,0,0,straight
17.5,175,0,0,straight
17.6,176,0,0,straight
17.7,177,0,0,straight
17.8,178,0,0,straight
17.9,179,0,0,straight
18,180,0,0,straight
18.1,181,0,0,straight
18.2,182,0,0,straight
18.3,183,0,0,straight
18.4,184,0,0,straight
18.5,185,0,0,straight
18.6,186,0,0,straight
18.7,187,0,0,straight
18.8,188,0,0,straight
18.9,189,0,0,straight
19,190,0,0,straight
19.1,191,0,0,straight
19.2,192,0,0,straight
19.3,193,0,0,straight
19.4,194,0,0,straight
19.5,195,0,0,straight
19.6,196,0,0,straight
19.7,197,0,0,straight
19.8,198,0,0,straight
19.9,199,0,0,straight
20,200,0,0,straight
20.1,201,0,0,straight
20.2,202,0,0,straight
20.3,203,0,0,straight
20.4,204,0,0,straight
20.5,205,0,0,straight
20.6,206,0,0,straight
20.7,207,0,0,straight
20.8,208,0,0,straight
20.9,209,0,0,straight
21,210,0,0,straight
21.1,211,0,0,straight
21.2,212,0,0,straight
21.3,213,0,0,straight
21.4,214,0,0,straight
21.5,215,0,0,straight
21.6,216,0,0,straight
21.7,217,0,0,straight
21.8,218,0,0,straight
21.9,219,0,0,straight
22,220,0,0,straight
22.1,221,0,0,straight
22.2,222,0,0,straight
22.3,223,0,0,straight
22.4,224,0,0,straight
22.5,225,0,0,straight
22.6,226,0,0,straight
22.7,227,0,0,straight
22.8,228,0,0,straight
22.9,229,0,0,straight
23,230,0,0,straight
23.1,231,0,0,straight
23.2,232,0,0,straight
23.3,233,0,0,straight
23.4,234,0,0,straight
23.5,235,0,0,straight
23.6,236,0,0,straight
23.7,237,0,0,straight
23.8,238,0,0,straight
23.9,239,0,0,straight
24,240,0,0,straight
24.1,241,0,0,straight
24.2,242,0,0,straight
24.3,243,0,0,straight
24.4,244,0,0,straight
24.5,245,0,0,straight
24.6,246,0,0,straight
24.7,247,0,0,straight
24.8,248,0,0,straight
24.9,249,0,0,straight
25,250,0,0,straight
25.1,251,0,0,straight
25.2,252,0,0,straight
25.3,253,0,0,straight
25.4,254,0,0,straight
25.5,255,0,0,straight
25.6,256,0,0,straight
25.7,257,0,0,straight
25.8,258,0,0,straight
25.9,259,0,0,straight
26,260,0,0,straight
26.1,261,0,0,straight
26.2,262,0,0,straight
26.3,263,0,0,straight
26.4,264,0,0,straight
26.5,265,0,0,straight
26.6,266,0,0,straight
26.7,267,0,0,straight
26.8,268,0,0,straight
26.9,269,0,0,straight
27,270,0,0,straight
27.1,271,0,0,straight
27.2,272,0,0,straight
27.3,273,0,0,straight
27.4,274,0,0,straight
27.5,275,0,0,straight
27.6,276,0,0,straight
27.7,277,0,0,straight
27.8,278,0,0,straight
27.9,279,0,0,straight
28,280,0,0,straight
28.1,281,0,0,straight
28.2,282,0,0,straight
28.3,283,0,0,straight
28.4,284,0,0,straight
28.5,285,0,0,straight
28.6,286,0,0,straight
28.7,287,0,0,straight
28.8,288,0,0,straight
28.9,289,0,0,straight
29,290,0,0,straight
29.1,291,0,0,straight
29.2,292,0,0,straight
29.3,293,0,0,straight
29.4,294,0,0,straight
29.5,295,0,0,straight
29.6,296,0,0,straight
29.7,297,0,0,straight
29.8,298,0,0,straight
29.9,299,0,0,straight
30,300,0,0,straight
30.1,301,0,0,straight
30.2,302,0,0,straight
30.3,303,0,0,straight
30.4,304,0,0,straight
30.5,305,0,0,straight
30.6,306,0,0,straight
30.7,307,0,0,straight
30.8,308,0,0,straight
30.9,309,0,0,straight
31,310,0,0,straight
31.1,311,0,0,straight
31.2,312,0,0,straight
31.3,313,0,0,straight
31.4,314,0,0,straight
31.5,315,0,0,straight
31.6,316,0,0,straight
31.7,317,0,0,straight
31.8,318,0,0,straight
