Time,Height,Velocity
0,10,0
0.01,9.99902,-0.0981
0.02,9.99706,-0.1962
0.03,9.99411,-0.2943
0.04,9.99019,-0.3924
0.05,9.98528,-0.4905
0.06,9.9794,-0.5886
0.07,9.97253,-0.6867
0.08,9.96468,-0.7848
0.09,9.95585,-0.8829
0.1,9.94604,-0.981
0.11,9.93525,-1.0791
0.12,9.92348,-1.1772
0.13,9.91073,-1.2753
0.14,9.897,-1.3734
0.15,9.88228,-1.4715
0.16,9.86658,-1.5696
0.17,9.84991,-1.6677
0.18,9.83225,-1.7658
0.19,9.81361,-1.8639
0.2,9.79399,-1.962
0.21,9.77339,-2.0601
0.22,9.75181,-2.1582
0.23,9.72924,-2.2563
0.24,9.7057,-2.3544
0.25,9.68117,-2.4525
0.26,9.65567,-2.5506
0.27,9.62918,-2.6487
0.28,9.60171,-2.7468
0.29,9.57326,-2.8449
0.3,9.54383,-2.943
0.31,9.51342,-3.0411
0.32,9.48203,-3.1392
0.33,9.44966,-3.2373
0.34,9.4163,-3.3354
0.35,9.38197,-3.4335
0.36,9.34665,-3.5316
0.37,9.31036,-3.6297
0.38,9.27308,-3.7278
0.39,9.23482,-3.8259
0.4,9.19558,-3.924
0.41,9.15536,-4.0221
0.42,9.11416,-4.1202
0.43,9.07197,-4.2183
0.44,9.02881,-4.3164
0.45,8.98466,-4.4145
0.46,8.93954,-4.5126
0.47,8.89343,-4.6107
0.48,8.84634,-4.7088
0.49,8.79827,-4.8069
0.5,8.74922,-4.905
0.51,8.69919,-5.0031
0.52,8.64818,-5.1012
0.53,8.59619,-5.1993
0.54,8.54321,-5.2974
0.55,8.48926,-5.3955
0.56,8.43432,-5.4936
0.57,8.37841,-5.5917
0.58,8.32151,-5.6898
0.59,8.26363,-5.7879
0.6,8.20477,-5.886
0.61,8.14493,-5.9841
0.62,8.08411,-6.0822
0.63,8.0223,-6.1803
0.64,7.95952,-6.2784
0.65,7.89576,-6.3765
0.66,7.83101,-6.4746
0.67,7.76528,-6.5727
0.68,7.69857,-6.6708
0.69,7.63089,-6.7689
0.7,7.56222,-6.867
0.71,7.49256,-6.9651
0.72,7.42193,-7.0632
0.73,7.35032,-7.1613
0.74,7.27773,-7.2594
0.75,7.20415,-7.3575
0.76,7.12959,-7.4556
0.77,7.05406,-7.5537
0.78,6.97754,-7.6518
0.79,6.90004,-7.7499
0.8,6.82156,-7.848
0.81,6.7421,-7.9461
0.82,6.66166,-8.0442
0.83,6.58023,-8.1423
0.84,6.49783,-8.2404
0.85,6.41445,-8.3385
0.86,6.33008,-8.4366
0.87,6.24473,-8.5347
0.88,6.1584,-8.6328
0.89,6.0711,-8.7309
0.9,5.98281,-8.829
0.91,5.89353,-8.9271
0.92,5.80328,-9.0252
0.93,5.71205,-9.1233
0.94,5.61984,-9.2214
0.95,5.52664,-9.3195
0.96,5.43246,-9.4176
0.97,5.33731,-9.5157
0.98,5.24117,-9.6138
0.99,5.14405,-9.7119
1,5.04595,-9.81
1.01,4.94687,-9.9081
1.02,4.84681,-10.0062
1.03,4.74576,-10.1043
1.04,4.64374,-10.2024
1.05,4.54074,-10.3005
1.06,4.43675,-10.3986
1.07,4.33178,-10.4967
1.08,4.22583,-10.5948
1.09,4.11891,-10.6929
1.1,4.011,-10.791
1.11,3.9021,-10.8891
1.12,3.79223,-10.9872
1.13,3.68138,-11.0853
1.14,3.56955,-11.1834
1.15,3.45673,-11.2815
1.16,3.34293,-11.3796
1.17,3.22816,-11.4777
1.18,3.1124,-11.5758
1.19,2.99566,-11.6739
1.2,2.87794,-11.772
1.21,2.75924,-11.8701
1.22,2.63956,-11.9682
1.23,2.51889,-12.0663
1.24,2.39725,-12.1644
1.25,2.27463,-12.2625
1.26,2.15102,-12.3606
1.27,2.02643,-12.4587
1.28,1.90086,-12.5568
1.29,1.77432,-12.6549
1.3,1.64679,-12.753
1.31,1.51827,-12.8511
1.32,1.38878,-12.9492
1.33,1.25831,-13.0473
1.34,1.12686,-13.1454
1.35,0.99442,-13.2435
1.36,0.861004,-13.3416
1.37,0.726607,-13.4397
1.38,0.591229,-13.5378
1.39,0.45487,-13.6359
1.4,0.31753,-13.734
1.41,0.179209,-13.8321
1.42,0.039907,-13.9302
1.43,0,12.6255
1.44,0.125274,12.5274
1.45,0.249566,12.4293
1.46,0.372878,12.3312
1.47,0.495209,12.2331
1.48,0.616559,12.135
1.49,0.736927,12.0369
1.5,0.856315,11.9388
1.51,0.974722,11.8407
1.52,1.09215,11.7426
1.53,1.20859,11.6445
1.54,1.32406,11.5464
1.55,1.43854,11.4483
1.56,1.55204,11.3502
1.57,1.66456,11.2521
1.58,1.7761,11.154
1.59,1.88666,11.0559
1.6,1.99624,10.9578
1.61,2.10483,10.8597
1.62,2.21245,10.7616
1.63,2.31908,10.6635
1.64,2.42474,10.5654
1.65,2.52941,10.4673
1.66,2.6331,10.3692
1.67,2.73581,10.2711
1.68,2.83754,10.173
1.69,2.93829,10.0749
1.7,3.03806,9.97677
1.71,3.13685,9.87867
1.72,3.23465,9.78057
1.73,3.33148,9.68247
1.74,3.42732,9.58437
1.75,3.52218,9.48627
1.76,3.61606,9.38817
1.77,3.70896,9.29007
1.78,3.80088,9.19197
1.79,3.89182,9.09387
1.8,3.98178,8.99577
1.81,4.07076,8.89767
1.82,4.15875,8.79957
1.83,4.24577,8.70147
1.84,4.3318,8.60337
1.85,4.41685,8.50527
1.86,4.50093,8.40717
1.87,4.58402,8.30907
1.88,4.66613,8.21097
1.89,4.74726,8.11287
1.9,4.8274,8.01477
1.91,4.90657,7.91667
1.92,4.98476,7.81857
1.93,5.06196,7.72047
1.94,5.13818,7.62237
1.95,5.21343,7.52427
1.96,5.28769,7.42617
1.97,5.36097,7.32807
1.98,5.43327,7.22997
1.99,5.50459,7.13187
2,5.57492,7.03377
2.01,5.64428,6.93567
2.02,5.71266,6.83757
2.03,5.78005,6.73947
2.04,5.84647,6.64137
2.05,5.9119,6.54327
2.06,5.97635,6.44517
2.07,6.03982,6.34707
2.08,6.10231,6.24897
2.09,6.16382,6.15087
2.1,6.22435,6.05277
2.11,6.28389,5.95467
2.12,6.34246,5.85657
2.13,6.40004,5.75847
2.14,6.45665,5.66037
2.15,6.51227,5.56227
2.16,6.56691,5.46417
2.17,6.62057,5.36607
2.18,6.67325,5.26797
2.19,6.72495,5.16987
2.2,6.77567,5.07177
2.21,6.82541,4.97367
2.22,6.87416,4.87557
2.23,6.92194,4.77747
2.24,6.96873,4.67937
2.25,7.01454,4.58127
2.26,7.05937,4.48317
2.27,7.10322,4.38507
2.28,7.14609,4.28697
2.29,7.18798,4.18887
2.3,7.22889,4.09077
2.31,7.26882,3.99267
2.32,7.30776,3.89457
2.33,7.34573,3.79647
2.34,7.38271,3.69837
2.35,7.41871,3.60027
2.36,7.45374,3.50217
2.37,7.48778,3.40407
2.38,7.52084,3.30597
2.39,7.55292,3.20787
2.4,7.58401,3.10977
2.41,7.61413,3.01167
2.42,7.64327,2.91357
2.43,7.67142,2.81547
2.44,7.69859,2.71737
2.45,7.72479,2.61927
2.46,7.75,2.52117
2.47,7.77423,2.42307
2.48,7.79748,2.32497
2.49,7.81975,2.22687
2.5,7.84103,2.12877
2.51,7.86134,2.03067
2.52,7.88067,1.93257
2.53,7.89901,1.83447
2.54,7.91638,1.73637
2.55,7.93276,1.63827
2.56,7.94816,1.54017
2.57,7.96258,1.44207
2.58,7.97602,1.34397
2.59,7.98848,1.24587
2.6,7.99996,1.14777
2.61,8.01045,1.04967
2.62,8.01997,0.95157
2.63,8.0285,0.85347
2.64,8.03606,0.75537
2.65,8.04263,0.65727
2.66,8.04822,0.55917
2.67,8.05283,0.46107
2.68,8.05646,0.36297
2.69,8.05911,0.26487
2.7,8.06078,0.16677
2.71,8.06147,0.06867
2.72,8.06117,-0.02943
2.73,8.0599,-0.12753
2.74,8.05764,-0.22563
2.75,8.0544,-0.32373
2.76,8.05018,-0.42183
2.77,8.04498,-0.51993
2.78,8.0388,-0.61803
2.79,8.03164,-0.71613
2.8,8.0235,-0.81423
2.81,8.01438,-0.91233
2.82,8.00427,-1.01043
2.83,7.99319,-1.10853
2.84,7.98112,-1.20663
2.85,7.96807,-1.30473
2.86,7.95405,-1.40283
2.87,7.93904,-1.50093
2.88,7.92305,-1.59903
2.89,7.90608,-1.69713
2.9,7.88812,-1.79523
2.91,7.86919,-1.89333
2.92,7.84928,-1.99143
2.93,7.82838,-2.08953
2.94,7.8065,-2.18763
2.95,7.78365,-2.28573
2.96,7.75981,-2.38383
2.97,7.73499,-2.48193
2.98,7.70919,-2.58003
2.99,7.68241,-2.67813
3,7.65464,-2.77623
3.01,7.6259,-2.87433
3.02,7.59618,-2.97243
3.03,7.56547,-3.07053
3.04,7.53379,-3.16863
3.05,7.50112,-3.26673
3.06,7.46747,-3.36483
3.07,7.43284,-3.46293
3.08,7.39723,-3.56103
3.09,7.36064,-3.65913
3.1,7.32307,-3.75723
3.11,7.28451,-3.85533
3.12,7.24498,-3.95343
3.13,7.20446,-4.05153
3.14,7.16297,-4.14963
3.15,7.12049,-4.24773
3.16,7.07703,-4.34583
3.17,7.03259,-4.44393
3.18,6.98717,-4.54203
3.19,6.94077,-4.64013
3.2,6.89339,-4.73823
3.21,6.84503,-4.83633
3.22,6.79568,-4.93443
3.23,6.74536,-5.03253
3.24,6.69405,-5.13063
3.25,6.64176,-5.22873
3.26,6.58849,-5.32683
3.27,6.53424,-5.42493
3.28,6.47901,-5.52303
3.29,6.4228,-5.62113
3.3,6.36561,-5.71923
3.31,6.30744,-5.81733
3.32,6.24828,-5.91543
3.33,6.18815,-6.01353
3.34,6.12703,-6.11163
3.35,6.06493,-6.20973
3.36,6.00186,-6.30783
3.37,5.9378,-6.40593
3.38,5.87276,-6.50403
3.39,5.80674,-6.60213
3.4,5.73973,-6.70023
3.41,5.67175,-6.79833
3.42,5.60279,-6.89643
3.43,5.53284,-6.99453
3.44,5.46191,-7.09263
3.45,5.39001,-7.19073
3.46,5.31712,-7.28883
3.47,5.24325,-7.38693
3.48,5.1684,-7.48503
3.49,5.09257,-7.58313
3.5,5.01575,-7.68123
3.51,4.93796,-7.77933
3.52,4.85919,-7.87743
3.53,4.77943,-7.97553
3.54,4.6987,-8.07363
3.55,4.61698,-8.17173
3.56,4.53428,-8.26983
3.57,4.4506,-8.36793
3.58,4.36594,-8.46603
3.59,4.2803,-8.56413
3.6,4.19368,-8.66223
3.61,4.10607,-8.76033
3.62,4.01749,-8.85843
3.63,3.92792,-8.95653
3.64,3.83738,-9.05463
3.65,3.74585,-9.15273
3.66,3.65334,-9.25083
3.67,3.55985,-9.34893
3.68,3.46538,-9.44703
3.69,3.36993,-9.54513
3.7,3.2735,-9.64323
3.71,3.17609,-9.74133
3.72,3.07769,-9.83943
3.73,2.97832,-9.93753
3.74,2.87796,-10.0356
3.75,2.77662,-10.1337
3.76,2.6743,-10.2318
3.77,2.571,-10.3299
3.78,2.46672,-10.428
3.79,2.36146,-10.5261
3.8,2.25522,-10.6242
3.81,2.148,-10.7223
3.82,2.03979,-10.8204
3.83,1.93061,-10.9185
3.84,1.82044,-11.0166
3.85,1.70929,-11.1147
3.86,1.59717,-11.2128
3.87,1.48406,-11.3109
3.88,1.36997,-11.409
3.89,1.2549,-11.5071
3.9,1.13884,-11.6052
3.91,1.02181,-11.7033
3.92,0.903795,-11.8014
3.93,0.7848,-11.8995
3.94,0.664824,-11.9976
3.95,0.543866,-12.0957
3.96,0.421928,-12.1938
3.97,0.299009,-12.2919
3.98,0.175109,-12.39
3.99,0.0502272,-12.4881
4,0,11.3276
4.01,0.112295,11.2295
4.02,0.223609,11.1314
4.03,0.333942,11.0333
4.04,0.443294,10.9352
4.05,0.551665,10.8371
4.06,0.659055,10.739
4.07,0.765464,10.6409
4.08,0.870893,10.5428
4.09,0.97534,10.4447
4.1,1.07881,10.3466
4.11,1.18129,10.2485
4.12,1.28279,10.1504
4.13,1.38332,10.0523
4.14,1.48286,9.95421
4.15,1.58142,9.85611
4.16,1.679,9.75801
4.17,1.7756,9.65991
4.18,1.87122,9.56181
4.19,1.96586,9.46371
4.2,2.05951,9.36561
4.21,2.15219,9.26751
4.22,2.24388,9.16941
4.23,2.33459,9.07131
4.24,2.42433,8.97321
4.25,2.51308,8.87511
4.26,2.60085,8.77701
4.27,2.68764,8.67891
4.28,2.77344,8.58081
4.29,2.85827,8.48271
4.3,2.94212,8.38461
4.31,3.02498,8.28651
4.32,3.10687,8.18841
4.33,3.18777,8.09031
4.34,3.26769,7.99221
4.35,3.34663,7.89411
4.36,3.42459,7.79601
4.37,3.50157,7.69791
4.38,3.57757,7.59981
4.39,3.65259,7.50171
4.4,3.72662,7.40361
4.41,3.79968,7.30551
4.42,3.87175,7.20741
4.43,3.94285,7.10931
4.44,4.01296,7.01121
4.45,4.08209,6.91311
4.46,4.15024,6.81501
4.47,4.21741,6.71691
4.48,4.2836,6.61881
4.49,4.3488,6.52071
4.5,4.41303,6.42261
4.51,4.47627,6.32451
4.52,4.53854,6.22641
4.53,4.59982,6.12831
4.54,4.66012,6.03021
4.55,4.71944,5.93211
4.56,4.77778,5.83401
4.57,4.83514,5.73591
4.58,4.89152,5.63781
4.59,4.94692,5.53971
4.6,5.00133,5.44161
4.61,5.05477,5.34351
4.62,5.10722,5.24541
4.63,5.1587,5.14731
4.64,5.20919,5.04921
4.65,5.2587,4.95111
4.66,5.30723,4.85301
4.67,5.35478,4.75491
4.68,5.40135,4.65681
4.69,5.44693,4.55871
4.7,5.49154,4.46061
4.71,5.53516,4.36251
4.72,5.57781,4.26441
4.73,5.61947,4.16631
4.74,5.66015,4.06821
4.75,5.69986,3.97011
4.76,5.73858,3.87201
4.77,5.77631,3.77391
4.78,5.81307,3.67581
4.79,5.84885,3.57771
4.8,5.88365,3.47961
4.81,5.91746,3.38151
4.82,5.95029,3.28341
4.83,5.98215,3.18531
4.84,6.01302,3.08721
4.85,6.04291,2.98911
4.86,6.07182,2.89101
4.87,6.09975,2.79291
4.88,6.1267,2.69481
4.89,6.15267,2.59671
4.9,6.17765,2.49861
4.91,6.20166,2.40051
4.92,6.22468,2.30241
4.93,6.24672,2.20431
4.94,6.26779,2.10621
4.95,6.28787,2.00811
4.96,6.30697,1.91001
4.97,6.32509,1.81191
4.98,6.34222,1.71381
4.99,6.35838,1.61571
5,6.37356,1.51761
5.01,6.38775,1.41951
5.02,6.40097,1.32141
5.03,6.4132,1.22331
5.04,6.42445,1.12521
5.05,6.43472,1.02711
5.06,6.44401,0.929007
5.07,6.45232,0.830907
5.08,6.45965,0.732807
5.09,6.466,0.634707
5.1,6.47136,0.536607
5.11,6.47575,0.438507
5.12,6.47915,0.340407
5.13,6.48157,0.242307
5.14,6.48302,0.144207
5.15,6.48348,0.046107
5.16,6.48296,-0.051993
5.17,6.48146,-0.150093
5.18,6.47898,-0.248193
5.19,6.47551,-0.346293
5.2,6.47107,-0.444393
5.21,6.46564,-0.542493
5.22,6.45924,-0.640593
5.23,6.45185,-0.738693
5.24,6.44348,-0.836793
5.25,6.43413,-0.934893
5.26,6.4238,-1.03299
5.27,6.41249,-1.13109
5.28,6.4002,-1.22919
5.29,6.38693,-1.32729
5.3,6.37267,-1.42539
5.31,6.35744,-1.52349
5.32,6.34122,-1.62159
5.33,6.32403,-1.71969
5.34,6.30585,-1.81779
5.35,6.28669,-1.91589
5.36,6.26655,-2.01399
5.37,6.24543,-2.11209
5.38,6.22333,-2.21019
5.39,6.20024,-2.30829
5.4,6.17618,-2.40639
5.41,6.15113,-2.50449
5.42,6.12511,-2.60259
5.43,6.0981,-2.70069
5.44,6.07011,-2.79879
5.45,6.04115,-2.89689
5.46,6.0112,-2.99499
5.47,5.98026,-3.09309
5.48,5.94835,-3.19119
5.49,5.91546,-3.28929
5.5,5.88159,-3.38739
5.51,5.84673,-3.48549
5.52,5.81089,-3.58359
5.53,5.77408,-3.68169
5.54,5.73628,-3.77979
5.55,5.6975,-3.87789
5.56,5.65774,-3.97599
5.57,5.617,-4.07409
5.58,5.57528,-4.17219
5.59,5.53258,-4.27029
5.6,5.48889,-4.36839
5.61,5.44423,-4.46649
5.62,5.39858,-4.56459
5.63,5.35195,-4.66269
5.64,5.30435,-4.76079
5.65,5.25576,-4.85889
5.66,5.20619,-4.95699
5.67,5.15564,-5.05509
5.68,5.1041,-5.15319
5.69,5.05159,-5.25129
5.7,4.9981,-5.34939
5.71,4.94362,-5.44749
5.72,4.88817,-5.54559
5.73,4.83173,-5.64369
5.74,4.77431,-5.74179
5.75,4.71591,-5.83989
5.76,4.65653,-5.93799
5.77,4.59617,-6.03609
5.78,4.53483,-6.13419
5.79,4.47251,-6.23229
5.8,4.4092,-6.33039
5.81,4.34492,-6.42849
5.82,4.27965,-6.52659
5.83,4.2134,-6.62469
5.84,4.14618,-6.72279
5.85,4.07797,-6.82089
5.86,4.00878,-6.91899
5.87,3.93861,-7.01709
5.88,3.86746,-7.11519
5.89,3.79532,-7.21329
5.9,3.72221,-7.31139
5.91,3.64811,-7.40949
5.92,3.57304,-7.50759
5.93,3.49698,-7.60569
5.94,3.41994,-7.70379
5.95,3.34192,-7.80189
5.96,3.26292,-7.89999
5.97,3.18294,-7.99809
5.98,3.10198,-8.09619
5.99,3.02004,-8.19429
6,2.93711,-8.29239
6.01,2.85321,-8.39049
6.02,2.76832,-8.48859
6.03,2.68246,-8.58669
6.04,2.59561,-8.68479
6.05,2.50778,-8.78289
6.06,2.41897,-8.88099
6.07,2.32918,-8.97909
6.08,2.23841,-9.07719
6.09,2.14665,-9.17529
6.1,2.05392,-9.27339
6.11,1.9602,-9.37149
6.12,1.86551,-9.46959
6.13,1.76983,-9.56769
6.14,1.67317,-9.66579
6.15,1.57554,-9.76389
6.16,1.47692,-9.86199
6.17,1.37731,-9.96009
6.18,1.27673,-10.0582
6.19,1.17517,-10.1563
6.2,1.07263,-10.2544
6.21,0.9691,-10.3525
6.22,0.864595,-10.4506
6.23,0.759108,-10.5487
6.24,0.65264,-10.6468
6.25,0.545191,-10.7449
6.26,0.436761,-10.843
6.27,0.32735,-10.9411
6.28,0.216958,-11.0392
6.29,0.105585,-11.1373
6.3,0,10.1119
6.31,0.100138,10.0138
6.32,0.199294,9.91565
6.33,0.29747,9.81755
6.34,0.394664,9.71945
6.35,0.490878,9.62135
6.36,0.58611,9.52325
6.37,0.680362,9.42515
6.38,0.773632,9.32705
6.39,0.865922,9.22895
6.4,0.95723,9.13085
6.41,1.04756,9.03275
6.42,1.1369,8.93465
6.43,1.22527,8.83655
6.44,1.31265,8.73845
6.45,1.39906,8.64035
6.46,1.48448,8.54225
6.47,1.56892,8.44415
6.48,1.65238,8.34605
6.49,1.73486,8.24795
6.5,1.81636,8.14985
6.51,1.89688,8.05175
6.52,1.97641,7.95365
6.53,2.05497,7.85555
6.54,2.13254,7.75745
6.55,2.20914,7.65935
6.56,2.28475,7.56125
6.57,2.35938,7.46315
6.58,2.43303,7.36505
6.59,2.5057,7.26695
6.6,2.57739,7.16885
6.61,2.6481,7.07075
6.62,2.71783,6.97265
6.63,2.78657,6.87455
6.64,2.85434,6.77645
6.65,2.92112,6.67835
6.66,2.98692,6.58025
6.67,3.05174,6.48215
6.68,3.11558,6.38405
6.69,3.17844,6.28595
6.7,3.24032,6.18785
6.71,3.30122,6.08975
6.72,3.36114,5.99165
6.73,3.42007,5.89355
6.74,3.47803,5.79545
6.75,3.535,5.69735
6.76,3.59099,5.59925
6.77,3.646,5.50115
6.78,3.70003,5.40305
6.79,3.75308,5.30495
6.8,3.80515,5.20685
6.81,3.85624,5.10875
6.82,3.90635,5.01065
6.83,3.95547,4.91255
6.84,4.00362,4.81445
6.85,4.05078,4.71635
6.86,4.09696,4.61825
6.87,4.14216,4.52015
6.88,4.18638,4.42205
6.89,4.22962,4.32395
6.9,4.27188,4.22585
6.91,4.31316,4.12775
6.92,4.35346,4.02965
6.93,4.39277,3.93155
6.94,4.43111,3.83345
6.95,4.46846,3.73535
6.96,4.50483,3.63725
6.97,4.54022,3.53915
6.98,4.57463,3.44105
6.99,4.60806,3.34295
7,4.64051,3.24485
7.01,4.67198,3.14675
7.02,4.70247,3.04865
7.03,4.73197,2.95055
7.04,4.7605,2.85245
7.05,4.78804,2.75435
7.06,4.8146,2.65625
7.07,4.84018,2.55815
7.08,4.86478,2.46005
7.09,4.8884,2.36195
7.1,4.91104,2.26385
7.11,4.9327,2.16575
7.12,4.95338,2.06765
7.13,4.97307,1.96955
7.14,4.99179,1.87145
7.15,5.00952,1.77335
